State,PHN_code,PHN_name,Reporting_Year,Age_group,Registered_children,Fully_immunised,Not_fully_immunised,Percent_fully_immunised
VIC/NSW,PHN205,Murray,2016-17,5 years,388,367,21,94.6
VIC,PHN206,Western Victoria,2016-17,5 years,206,185,21,89.8
QLD,PHN301,Brisbane North,2016-17,5 years,505,488,17,96.6
QLD,PHN302,Brisbane South,2016-17,5 years,569,539,30,94.7
QLD,PHN303,Gold Coast,2016-17,5 years,199,190,9,95.5
QLD,PHN304,Darling Downs and West Moreton,2016-17,5 years,724,697,27,96.3
QLD,PHN305,Western Queensland,2016-17,5 years,339,324,15,95.6
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2016-17,5 years,806,767,39,95.2
QLD,PHN307,Northern Queensland,2016-17,5 years,1894,1843,51,97.3
SA,PHN401,Adelaide,2016-17,5 years,449,412,37,91.8
SA,PHN402,Country SA,2016-17,5 years,416,398,18,95.7
WA,PHN501,Perth North,2016-17,5 years,317,287,30,90.5
WA,PHN502,Perth South,2016-17,5 years,481,450,31,93.6
WA,PHN503,Country WA,2016-17,5 years,1165,1119,46,96.1
TAS,PHN601,Tasmania,2016-17,5 years,470,449,21,95.5
NT,PHN701,Northern Territory,2016-17,5 years,1288,1220,68,94.7
ACT,PHN801,Australian Capital Territory,2016-17,5 years,120,114,6,95
NSW,PHN101,Central and Eastern Sydney,2015-16,1 year,215,199,16,92.7
NSW,PHN102,Northern Sydney,2015-16,1 year,NP,NP,NP,97.2
NSW,PHN103,Western Sydney,2015-16,1 year,310,272,38,87.9
NSW,PHN104,Nepean Blue Mountains,2015-16,1 year,239,221,18,92.5
NSW,PHN105,South Western Sydney,2015-16,1 year,315,289,26,91.6
NSW,PHN106,South Eastern NSW,2015-16,1 year,535,490,45,91.6
NSW,PHN107,Western NSW,2015-16,1 year,865,782,83,90.4
NSW,PHN108,Hunter New England and Central Coast,2015-16,1 year,1577,1479,98,93.8
NSW,PHN109,North Coast,2015-16,1 year,655,603,52,92.1
NSW,PHN110,Murrumbidgee,2015-16,1 year,309,286,23,92.5
VIC,PHN201,North Western Melbourne,2015-16,1 year,287,259,28,90.2
VIC,PHN202,Eastern Melbourne,2015-16,1 year,159,144,15,90.7
VIC,PHN203,South Eastern Melbourne,2015-16,1 year,132,123,9,93.1
VIC,PHN204,Gippsland,2015-16,1 year,120,110,10,91.7
VIC/NSW,PHN205,Murray,2015-16,1 year,483,428,55,88.6
VIC,PHN206,Western Victoria,2015-16,1 year,225,211,14,93.8
QLD,PHN301,Brisbane North,2015-16,1 year,569,508,61,89.3
QLD,PHN302,Brisbane South,2015-16,1 year,608,527,81,86.7
QLD,PHN303,Gold Coast,2015-16,1 year,185,169,16,91.6
QLD,PHN304,Darling Downs and West Moreton,2015-16,1 year,772,694,78,89.8
QLD,PHN305,Western Queensland,2015-16,1 year,364,318,46,87.4
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2015-16,1 year,846,754,92,89.1
QLD,PHN307,Northern Queensland,2015-16,1 year,1993,1734,259,87
SA,PHN401,Adelaide,2015-16,1 year,454,410,44,90.3
SA,PHN402,Country SA,2015-16,1 year,376,343,33,91.2
WA,PHN501,Perth North,2015-16,1 year,370,281,89,76.1
WA,PHN502,Perth South,2015-16,1 year,480,389,91,81.1
WA,PHN503,Country WA,2015-16,1 year,1206,1056,150,87.6
TAS,PHN601,Tasmania,2015-16,1 year,451,425,26,94.2
NT,PHN701,Northern Territory,2015-16,1 year,1379,1283,96,93
ACT,PHN801,Australian Capital Territory,2015-16,1 year,139,130,9,93.5
NSW,PHN101,Central and Eastern Sydney,2015-16,2 years,220,194,26,88.3
NSW,PHN102,Northern Sydney,2015-16,2 years,NP,NP,NP,94.3
NSW,PHN103,Western Sydney,2015-16,2 years,286,243,43,84.7
NSW,PHN104,Nepean Blue Mountains,2015-16,2 years,216,193,23,89
NSW,PHN105,South Western Sydney,2015-16,2 years,291,272,19,93.4
NSW,PHN106,South Eastern NSW,2015-16,2 years,456,414,42,90.8
NSW,PHN107,Western NSW,2015-16,2 years,873,768,105,88
NSW,PHN108,Hunter New England and Central Coast,2015-16,2 years,1500,1369,131,91.3
NSW,PHN109,North Coast,2015-16,2 years,657,597,60,90.8
NSW,PHN110,Murrumbidgee,2015-16,2 years,285,252,33,88.4
VIC,PHN201,North Western Melbourne,2015-16,2 years,256,217,39,84.7
VIC,PHN202,Eastern Melbourne,2015-16,2 years,139,125,14,90.1
VIC,PHN203,South Eastern Melbourne,2015-16,2 years,167,147,20,88
VIC,PHN204,Gippsland,2015-16,2 years,122,106,16,86.8
VIC/NSW,PHN205,Murray,2015-16,2 years,376,333,43,88.6
VIC,PHN206,Western Victoria,2015-16,2 years,182,157,25,86.2
QLD,PHN301,Brisbane North,2015-16,2 years,572,508,64,88.8
QLD,PHN302,Brisbane South,2015-16,2 years,551,488,63,88.5
QLD,PHN303,Gold Coast,2015-16,2 years,170,149,21,88.1
QLD,PHN304,Darling Downs and West Moreton,2015-16,2 years,711,614,97,86.3
QLD,PHN305,Western Queensland,2015-16,2 years,317,272,45,86
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2015-16,2 years,791,674,117,85.2
QLD,PHN307,Northern Queensland,2015-16,2 years,1852,1635,217,88.2
SA,PHN401,Adelaide,2015-16,2 years,430,364,66,84.6
SA,PHN402,Country SA,2015-16,2 years,402,348,54,86.6
WA,PHN501,Perth North,2015-16,2 years,363,291,72,80.1
WA,PHN502,Perth South,2015-16,2 years,474,360,114,76
WA,PHN503,Country WA,2015-16,2 years,1194,1052,142,88.1
TAS,PHN601,Tasmania,2015-16,2 years,401,361,40,90
NT,PHN701,Northern Territory,2015-16,2 years,1248,1097,151,87.9
ACT,PHN801,Australian Capital Territory,2015-16,2 years,134,112,22,83.6
NSW,PHN101,Central and Eastern Sydney,2015-16,5 years,196,178,18,90.8
NSW,PHN102,Northern Sydney,2015-16,5 years,NP,NP,NP,87.5
NSW,PHN103,Western Sydney,2015-16,5 years,247,230,17,92.8
NSW,PHN104,Nepean Blue Mountains,2015-16,5 years,NP,NP,NP,97.5
NSW,PHN105,South Western Sydney,2015-16,5 years,326,306,20,93.8
NSW,PHN106,South Eastern NSW,2015-16,5 years,448,435,13,97.1
NSW,PHN107,Western NSW,2015-16,5 years,721,694,27,96.3
NSW,PHN108,Hunter New England and Central Coast,2015-16,5 years,1342,1295,47,96.5
NSW,PHN109,North Coast,2015-16,5 years,612,583,29,95.3
NSW,PHN110,Murrumbidgee,2015-16,5 years,263,252,11,95.8
VIC,PHN201,North Western Melbourne,2015-16,5 years,207,198,9,95.6
VIC,PHN202,Eastern Melbourne,2015-16,5 years,134,124,10,92.8
VIC,PHN203,South Eastern Melbourne,2015-16,5 years,100,94,6,94.6
VIC,PHN204,Gippsland,2015-16,5 years,109,103,6,93.8
VIC/NSW,PHN205,Murray,2015-16,5 years,346,330,16,95.3
VIC,PHN206,Western Victoria,2015-16,5 years,132,118,14,89.4
QLD,PHN301,Brisbane North,2015-16,5 years,436,406,30,93.1
QLD,PHN302,Brisbane South,2015-16,5 years,534,502,32,94
QLD,PHN303,Gold Coast,2015-16,5 years,NP,NP,NP,98.8
QLD,PHN304,Darling Downs and West Moreton,2015-16,5 years,667,615,52,92.2
QLD,PHN305,Western Queensland,2015-16,5 years,344,321,23,93.3
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2015-16,5 years,750,697,53,92.9
QLD,PHN307,Northern Queensland,2015-16,5 years,1971,1893,78,96.1
SA,PHN401,Adelaide,2015-16,5 years,437,405,32,92.7
SA,PHN402,Country SA,2015-16,5 years,358,343,15,95.8
WA,PHN501,Perth North,2015-16,5 years,335,302,33,90.1
WA,PHN502,Perth South,2015-16,5 years,449,402,47,89.6
WA,PHN503,Country WA,2015-16,5 years,1194,1141,53,95.6
TAS,PHN601,Tasmania,2015-16,5 years,396,378,18,95.5
NT,PHN701,Northern Territory,2015-16,5 years,1307,1230,77,94.1
ACT,PHN801,Australian Capital Territory,2015-16,5 years,128,117,11,91.4
NSW,PHN101,Central and Eastern Sydney,2014-15,1 year,232,212,20,91.5
NSW,PHN102,Northern Sydney,2014-15,1 year,NP,NP,NP,97.2
NSW,PHN103,Western Sydney,2014-15,1 year,276,237,39,85.7
NSW,PHN104,Nepean Blue Mountains,2014-15,1 year,203,180,23,88.5
NSW,PHN105,South Western Sydney,2014-15,1 year,268,241,27,89.8
NSW,PHN106,South Eastern NSW,2014-15,1 year,439,393,46,89.5
NSW,PHN107,Western NSW,2014-15,1 year,883,780,103,88.3
